Video ID,Title,Description,Published At,Days Since Published,View Count,Like Count,Comment Count,Comments,Subscriber Count,Category ID,Definition,Duration,artist,genre,Followers,Popularity,Track Name,Artist Name,Album Name,Popularity,Duration (ms)
1VQ_3sBZEm0,Foo Fighters - Learn To Fly (Official HD Video),"Foo Fighters' official music video for 'Learn To Fly'. Click to listen to Foo Fighters on Spotify: http://smarturl.it/FooFSpotify?IQid=F...

As featured on Greatest Hits. Click to buy the track or album via iTunes: http://smarturl.it/FFGHiTunes?IQid=Fo...
Google Play: http://smarturl.it/FFLTFplay?IQid=Foo...
Amazon: http://smarturl.it/FFGHAmz?IQid=FooFLTF

More from Foo Fighters
My Hero: https://youtu.be/EqWRaAF6_WY
The Pretender: https://youtu.be/SBjQ9tuuTJQ
Everlong: https://youtu.be/eBG7P-K-r1Y

Follow Foo Fighters
Website: http://foofighters.com/
Facebook: https://www.facebook.com/foofighters
Twitter: https://twitter.com/foofighters
Instagram: https://instagram.com/foofighters/

Subscribe to Foo Fighters on YouTube: http://smarturl.it/FooFSub?IQid=FooFLTF

More great Alternative 00s videos here: http://smarturl.it/Alternative00?IQid...

---------

Lyrics:

Run and tell all of the angels
This could take all night
Think I need a devil to help me get things right

Hook me up a new revolution
'Cause this one is a lie
We sat around laughing and watched the last one die

Now I'm looking to the sky to save me
Looking for a sign of life
Looking for something to help me burn out bright
I'm looking for a complication
Looking 'cause I'm tired of lying
Make my way back home when I learn to fly high.""


#FooFighters #LearnToFly #OfficialVideo #HDremastered",2009-10-03T04:46:13Z,5550,183921366,808172,33856,"['I__ just realising how great Dave grohls acting in this is. I watched it a million times when I was younger but only just realised how great he was in it.', 'Producers: &quot;So which role do you want in the music video?&quot;<br>Dave: &quot;Yes!&quot;', 'Rest in Peace Taylor. Foo Fighters won&#39;t be the same without you. Your genius work on the drums cannot be replaced.  Fly high Taylor Hawkins.', 'Can we bring this back? This feeling? This music? This vibe. The world needs more of this.', 'Foo Fighters were incredibly important for me during the worst of my depression when I was younger. Forever grateful for all the love you poured into every song with your drums, Taylor. You&#39;ll live in every song, forever.', 'This song. This was the moment I was hooked on Foo Fighters forever. Taylor will ALWAYS make an excellent woman. I hope he&#39;s carrying on his antics up there. RIP Taylor. The earth is a hell of a lot darker place today without you.', 'We need more Dave&#39;s in the world. Who else could flirt and make fun of himself across several different roles in a 4 minute video?', 'Hands down one of the greatest music videos of all time.', 'Didn&#39;t think it was possible to have an ugly cry while listening to this song but here I am.  Love and respect to the Foo Fighters family.', 'I cannot believe that the energetic force behind the drums, Taylor Hawkins, is no more. It&#39;s truly a great loss for not only modern rock n&#39; roll music but music in general. And I can&#39;t imagine how hard it must be for the band members and his close loved ones... This song was the first one that came to mind for its uplifting feel.. RIP Taylor!']",1290000,10,hd,PT4M37S,"Foo Fighters	rock",rock,12217837,78,Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,73,235293
eBG7P-K-r1Y,Foo Fighters - Everlong (Official HD Video),"""Everlong"" by Foo Fighters 
Listen to Foo Fighters: https://FooFighters.lnk.to/listen_YD
Watch more Foo Fighter videos: https://FooFighters.lnk.to/listen_YC/youtube

Subscribe to the official Foo Fighters YouTube channel: https://FooFighters.lnk.to/subscribeYD

Follow Foo Fighters:
Facebook: https://FooFighters.lnk.to/followFI
Instagram: https://FooFighters.lnk.to/followII
Twitter: https://FooFighters.lnk.to/followTI
Website: https://FooFighters.lnk.to/followWI
Spotify: https://FooFighters.lnk.to/followSI
YouTube: https://FooFighters.lnk.to/subscribeYD

Ask your voice device to play __verlong_ by Foo Fighters!

Lyrics:
If everything could ever feel this real forever
If anything could ever be this good again
The only thing I'll ever ask of you
You've got to promise not to stop when I say when
She sang

#FooFighters #Everlong #OfficialHDVideo #Remastered",2009-10-03T04:49:58Z,5550,324414087,1821270,53201,"['Dad died today. \r<br>1:20 am.\r<br>A five day battle with brain cancer. \r<br>I played this song for hours on a $49 dollar acoustic guitar beside his death bed.\r<br>He couldn&#39;t talk but I know he could hear.\r<br>It was the last song he ever heard,<br>and it was an honor to play it for you.\r<br>I&#39;ll miss you forever dad.<br><br>Edit: Your comments saved my life. Thank you.<br><br>;', 'First concert I ever went to at Bamboozle in 2012, Ill never forget Dave saying<br>&quot;you don&#39;t need all these fancy lights and equipment, you can do this too, anyone can do this&#39;&#39;\xa0<br>changed my life forever', 'There&#39;s something about that intro that just pumps you up no matter how many times you hear it...', 'Stop asking who&#39;s still listening, we never stop listening.This song is one of those songs that just stays in your memory, forever.', 'When my brother died of leukemic cancer, he was wearing his headphones with his eyes closed and a smile on his face, this song was ringing on his phone. Whenever it sounds or I listen to it again, it reminds me of that scene and I wonder &quot;If everything could ever be this real forever\r<br>If anything could ever be this good again&quot;. Miss you Chris You have no idea how much i miss you', 'RIP Taylor Hawkins, the incredible beating heart of the Foo Fighters has gone.', 'I&#39;m not even a huge Foo Fighters fan but this song is undeniably one of the greatest of all time.', 'My uncle died from a drinking problem. He listened to this song almost all the time, one day I saw him cleaning his nails and Everlong was there. Damn, I just wish he could hear it again. At his funeral, I had headphones on listening to this while I was in pieces. <br><br>Thank you, Uncle M. I will never forget your teachings to me and my cousins. Today I am a man thanks to you. Thank you.', 'Just read the news about Taylor Hawkins passing away_ love to watch this again because him bursting out of the bed /drum kit was such a memorable part of this video. Rest well and much love to Dave and the Foo__.', 'This is one of those songs I can listen to over and over and never get tired of, anyone else feel the same?']",1290000,10,hd,PT4M52S,"Foo Fighters	rock",rock,12217837,78,Everlong,Foo Fighters,The Colour And The Shape,80,250546
SBjQ9tuuTJQ,Foo Fighters - The Pretender,"Watch the official music video for ""The Pretender"" by Foo Fighters
Listen to Foo Fighters: https://FooFighters.lnk.to/listen_YD

Subscribe to the official Foo Fighters YouTube channel: https://FooFighters.lnk.to/subscribeYD

Watch more Foo Fighter videos: https://FooFighters.lnk.to/listen_YC/youtube

Follow Foo Fighters:
Facebook: https://FooFighters.lnk.to/followFI
Instagram: https://FooFighters.lnk.to/followII
Twitter: https://FooFighters.lnk.to/followTI
Website: https://FooFighters.lnk.to/followWI
Spotify: https://FooFighters.lnk.to/followSI
YouTube: https://FooFighters.lnk.to/subscribeYD

Lyrics:
Keep you in the dark
You know they all pretend
Keep you in the dark
And so it all began

Send in your skeletons
Sing as their bones go marching in... again
The need you buried deep
The secrets that you keep are ever ready
Are you ready?
I'm finished making sense
Done pleading ignorance
That whole defense

#FooFighters #ThePretender #Remastered #OfficialMusicVideo",2009-10-03T04:46:14Z,5550,588092620,2785700,92245,"['So thankful for this awesome song. I&#39;ll be gone soon (when my kidneys fail completely), but what am I listening to in the meantime? This song. Screaming out the lyrics right along with Dave. Because I&#39;m still here now, and I still have a voice, and I will also never surrender. Not until it&#39;s my time.<br><br>Always loved this song; never knew it would become my anthem in my final days. Thanks, Dave.', 'The intro will always give me goosebumps, Foo Fighters were my first favorite band as a kid. Still hold a special place for me.', 'RIP Taylor Hawkins, incredible loss and gone way too young', 'Thanks dad for showing me this masterpiece, for gifting me these awesome music tastes. I feel I can fly.', 'This guy is a drummer, singer, guitarist, Jesus, and Johnwick all at the same time...', 'the rest of the lyrics from the description:<br><br>Keep you in the dark<br>You know they all pretend<br>Keep you in the dark<br>And so it all began<br><br>Send in your skeletons<br>Sing as their bones go marching in again<br>They need you buried deep<br>The secrets that you keep are ever ready<br>Are you ready?<br><br>I&#39;m finished making sense<br>Done pleading ignorance<br>That whole defense<br><br>Spinning infinity<br>But the wheel is spinning me<br>It&#39;s never ending, never ending<br>Same old story<br><br>What if I say I&#39;m not like the others?<br>What if I say I&#39;m not just another one of your plays?<br>You&#39;re the pretender<br>What if I say that I will never surrender?<br><br>What if I say I&#39;m not like the others?<br>What if I say I&#39;m not just another one of your plays?<br>You&#39;re the pretender<br>What if I say that I&#39;ll never ever surrender?<br><br>In time, or so I&#39;m told<br>I&#39;m just another soul for sale, oh, well<br>The page is out of print<br>We are not permanent<br>We&#39;re temporary, temporary<br>Same old story<br><br>What if I say I&#39;m not like the others?<br>What if I say I&#39;m not just another one of your plays?<br>You&#39;re the pretender<br>What if I say that I&#39;ll never surrender?<br><br>What if I say I&#39;m not like the others?<br>What if I say I&#39;m not just another one of your plays?<br>You&#39;re the pretender<br>What if I say I will never surrender?<br><br>I&#39;m the voice inside your head<br>You refuse to hear<br>I&#39;m the face that you have to face<br>Mirrorin&#39; your stare<br>I&#39;m what&#39;s left, I&#39;m what&#39;s right<br>I&#39;m the enemy<br>I&#39;m the hand that&#39;ll take you down<br>Bring you to your knees<br><br>So, who are you? Yeah, who are you?<br>Yeah, who are you? Yeah, who are you?<br><br>Keep you in the dark, you know they all pretend<br><br>What if I say I&#39;m not like the others?<br>What if I say I&#39;m not just another one of your plays?<br>You&#39;re the pretender<br>What if I say I will never surrender?<br><br>What if I say I&#39;m not like the others?<br>What if I say I&#39;m not just another one of your plays?<br>You&#39;re the pretender<br>What if I say that I&#39;ll never surrender?<br><br>What if I say you&#39;re not like the others?<br>(Keep you in the dark)<br>What if I say I&#39;m not just another one of your plays?<br>(You know they all)<br>You&#39;re the pretender<br>(Pretend)<br>What if I say I will never surrender?<br><br>What if I say I&#39;m not like the others?<br>(Keep you in the dark)<br>What if I say I&#39;m not just another one of your plays?<br>(You know they all)<br>You&#39;re the pretender<br>(Pretend)<br>What if I say I will never surrender?<br><br>So, who are you? Yeah, who are you?<br>Yeah, who are you?', 'I&#39;m leaving this comment here so that whenever someone likes it I&#39;ll come back and listen to this masterpiece', '__________¶Ê___________¶„_______________Ôº__', 'How can you not get chills listening to this song? Even after all these years, man.. wow.', 'This is such a masterpiece. It just never gets old. The fire is still there.']",1290000,10,hd,PT4M31S,"Foo Fighters	rock",rock,12217837,78,The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",75,269373
EqWRaAF6_WY,Foo Fighters - My Hero (Official HD Video),"""My Hero"" by Foo Fighters 
Listen to Foo Fighters: https://FooFighters.lnk.to/listen_YD
Watch more Foo Fighter videos: https://FooFighters.lnk.to/listen_YC/youtube

Subscribe to the official Foo Fighters YouTube channel: https://FooFighters.lnk.to/subscribeYD

Follow Foo Fighters:
Facebook: https://FooFighters.lnk.to/followFI
Instagram: https://FooFighters.lnk.to/followII
Twitter: https://FooFighters.lnk.to/followTI
Website: https://FooFighters.lnk.to/followWI
Spotify: https://FooFighters.lnk.to/followSI
YouTube: https://FooFighters.lnk.to/subscribeYD

Ask your voice device to play __y Hero_ by Foo Fighters!

Lyrics:
There goes my hero
Watch him as he goes
There goes my hero
He's ordinary

#FooFighters #MyHero #OfficialHDVideo #RemasteredÔª",2011-03-18T19:35:42Z,5018,87531478,564448,26099,"['My son and I was supposed to spend the summer learning this song. He was a drummer and I was a on guitar. My 12 year old son Tristan Van Lu passed away on 3/22/23. He was the best drummer I have ever met, he was my hero. I rocked this song out at his funeral, it was the last time I will ever touch a guitar again. Played until my fingers bled my boy!. I love you so much my son, my best friend I will never forget you and will never stop missing you my son....', 'I like how you never see his face. The real heroes are the good people everyday who go unnoticed doing heroic things. The real heroes are the people you don__ even know are heroes', '&quot;There goes my hero. Watch him as he goes...&quot;<br><br>That line. I will never listen to that line the same ever again. The lose of Taylor Hawkins, the drummer and the beating heart of Foo Fighters, was truly tragic. No matter how good of a replacement they may find, you&#39;ll never really be replaced.<br><br>He was an ordinary man to some, but a true hero to most. Rest in peace, keep on rockin&#39; Taylor.', 'My sister was 8 months old stuck in a burning apartment complex in Kansas City a random man ran in to save her. I__e never got to say how thankful I am to him I wish him the best my sister is 13 now! She__ an amazing talented kid thank you sir if you ever see this my family will always be grateful for your existence', 'Rest in Peace Taylor Hawkins, Truly a great musician who was gone too soon, May you rest in peace', 'No more fitting song to listen to than My Hero after the absolutely heartbreaking news of the loss of Taylor. Rock in peace, man. You made a difference.', 'Can&#39;t believe we lost a legend today, it&#39;s amazing how people are here paying their respects immediately. A true inspiration he was.', 'Imagine your house is on fire. You run inside to save whatever you can, but the Foo Fighters are just rocking out in your living room as loud as they can.', 'we played this song at my dad&#39;s funeral. after we ran out of things to say to him when he was sedated in hospice, i started singing to him, songs he liked. this one stuck out to my mom, and we chose it to commemorate him. thank you, foo fighters, for this amazing song. i&#39;ll always associate it with my pops.', 'Man that is messed up, he saved all those people but let the foo fighters burn.']",1290000,10,hd,PT4M3S,"Foo Fighters	rock",rock,12217837,78,My Hero,Foo Fighters,The Colour And The Shape,72,260026
h_L4Rixya64,Foo Fighters - Best Of You (Official Music Video),"Watch the official music video for ""Best Of You"" by Foo Fighters
Listen to Foo Fighters: https://FooFighters.lnk.to/listen_YD

Subscribe to the official Foo Fighters YouTube channel: https://FooFighters.lnk.to/subscribeYD

Watch more Foo Fighter videos: https://FooFighters.lnk.to/listen_YC/youtube

Follow Foo Fighters:
Facebook: https://FooFighters.lnk.to/followFI
Instagram: https://FooFighters.lnk.to/followII
Twitter: https://FooFighters.lnk.to/followTI
Website: https://FooFighters.lnk.to/followWI
Spotify: https://FooFighters.lnk.to/followSI
YouTube: https://FooFighters.lnk.to/subscribeYD

Lyrics:
I've got another confession to make
I'm your fool
Everyone's got their chains to break
Holdin' you

Were you born to resist or be abused?
Is someone getting the best, the best, the best, the best of you?
Is someone getting the best, the best, the best, the best of you?

#FooFighters #BestOfYou #Remastered #OfficialMusicVideo",2009-10-03T20:49:33Z,5549,265573360,1281212,34999,"['The emotion in his face and his voice transcends so many levels of the soul. He really is pouring his whole heart out into this song !!', 'We can never replace Taylor. How does a man have the balls enough to sit on the kit behind the greatest rock star of our time, and do it so well. RIP Talor Hawkins. Miss your vibrant character and raw power to entertain. Love you. Best to your family and friends.', 'This song really helped me through some difficult times in my life.... hope Dave and Taylor¬¥s family find recovery soon', '____¶Ë________10_∞Âπ¥_¶‚<br>‰ª______∫¶_________', '<a href=""https://www.youtube.com/watch?v=h_L4Rixya64&amp;t=46"">0:46</a><br> The drums kicking in during &quot;I needed somewhere to hang my head&quot; is spectacular. Lots of times when I listen to songs I feel like the drums are the equivalent of a minor supporting actor.  Here it&#39;s one of the main stars.', 'What a talent Dave is. Drummer, singer, guitarist, and love maker to mics.', 'A truly masterpiece of resilience song. Thank you Dave and to all of his band.', 'If it wasn__ for the Foo Fighters, I would not be there today. They helped. me. Through the worst time of my life, I love the Foo Fighters, bush, and Chevelle and disturbed.  I would not be here without the Foo Fighters. I love them so much and I know they know it.', 'This song is amazing, I suffer from cancer and it helped me through a lot of bad times. I love you, Dave!', 'My son played this song  next to my ear when I was recovering from heart surgery. What a great thing to do. Love you for it']",1290000,10,hd,PT4M16S,"Foo Fighters	rock",rock,12217837,78,Best of You,Foo Fighters,In Your Honor,72,255626
gGdGFtwCNBE,The Killers - Mr. Brightside (Official Music Video),"New Album __mploding The Mirage_ Out Now:
https://thekillers.lnk.to/ImplodingTheMirageID

Follow The Killers:
Instagram: https://www.instagram.com/thekillers/
Facebook: https://www.facebook.com/Thekillers/
Twitter: https://twitter.com/thekillers
Website: https://www.thekillersmusic.com/

Subscribe Now:
https://thekillers.lnk.to/TheKillersSubYD
Watch More:
https://thekillers.lnk.to/MusicVideosYD

#TheKillers #MrBrightside #Remastered #Vevo #AlternativeRock #OfficialMusicVideo #Indie",2009-06-16T22:53:31Z,5658,581248951,2995143,101658,"['This song is a timeless classic, I don&#39;t think anyone will ever get bored of it .', 'When people say this songs makes people feel better people don__ realise that this was written after he found out he was being cheated on, so he made a draft that night and most of the lyrics weren__ changed as he wanted it to be as close to how he felt in that moment as he could, so at one of this legends lowest times he made a song that will be timeless and I have full respect and hope that this will never be forgotten', '<a href=""https://www.youtube.com/watch?v=gGdGFtwCNBE&amp;t=102"">1:42</a> the way he says &quot;juST FINe&quot; is a whole mood', 'Unbelievable master piece, the sound of my youth.', 'Still as amazing as the day it was released. Loved it ever since.', 'This will always be one of my favorite songs.', 'It really is true__his track has maintained the same emotional power and relevance for almost 15 years. Every time I hear it, I feel myself reliving a thousand other days when this track helped me to calmly analyze a difficult situation or time. Never has a song had more therapeutic value like Mr. Brightside.', 'This song is still on the UK charts. Certified banger', 'there__ something about this song that is just different and no matter how many times u listen to it, it never gets old.', 'the killers really made a song about getting cheated on that has one verse which is repeated twice and its one of the best songs ever created']",1330000,10,hd,PT3M48S,"The Killers	rock",rock,0,0,Mr. Brightside,The Killers,Hot Fuss,84,222973
ff0oWESdmH0,The Killers - When You Were Young (Official Music Video),"New Album __mploding The Mirage_ Out Now:
https://thekillers.lnk.to/ImplodingTheMirageID

Follow The Killers:
Instagram: https://www.instagram.com/thekillers/
Facebook: https://www.facebook.com/Thekillers/
Twitter: https://twitter.com/thekillers
Website: https://www.thekillersmusic.com/

Subscribe Now:
https://thekillers.lnk.to/TheKillersSubYD
Watch More:
https://thekillers.lnk.to/MusicVideosYD

#TheKillers #WhenYouWereYoung #Remastered #Vevo #AlternativeRock #OfficialMusicVideo #Indie",2009-06-17T00:49:22Z,5658,166067187,722367,28971,"['My boyfriend who passed away a few weeks ago sang this song  when we were at a bar doing karaoke one night. Since he sang it that night, I had been trying to figure out the name of it; I finally came across it tonight. The song has so much meaning to me. We were together for five years and were both young when he sung this song. Now I just watch the video of him in my phone when he sang this song that night at the bar,  wishing he was still alive, wishing that we could go back in time to when we were young. R.I.P. Chris, I&#39;ll always love you.', 'the serenity of the part that says, &quot;They say the devil&#39;s water, it ain&#39;t so sweet. You don&#39;t have drink right now, but you can dip your feet, every once in the little while,&quot; in Guitar Hero was what drew me to this song. Now its nearly 8 years later and I haven&#39;t found anything as enchanting as that part. <br>The Killers is one hell of a band.', '&quot;Sometimes you close your eyes and see the place where you used to live&quot; kills me every time', 'Vivo a unos cuantos kil√≥metros de donde se grabo este video (Tlayacapan Morelos- M√©xico) y realmente es incre√≠ble ver c√≥mo este video tiene ese toque especial que le caracteriza a la banda y al lugar en si, simplemente Perfecto y m√°gico! Gracias The Killers por este momento _§Ô_', 'I&#39;m 28 and the song hits harder and harder. I have a lot of regrets about decisions I made in my life don&#39;t waste your years guys, and enjoy everything with the people you love.', 'You truly don__ appreciate the intensity of this song until you__e come back to it a decade later, having lived some life and experienced some heartbreak.', 'The opening guitar riff at <a href=""https://www.youtube.com/watch?v=ff0oWESdmH0&amp;t=88"">1:28</a> never fails to give me goosebumps. Incredible tune.', 'God bless everyone! Peace and love for the world!', 'As you get older, this song takes on new meaning and hit you harder. That&#39;s what makes this a classic.', 'This is absolutely THE most poignant and captivating video for a song I have ever seen. She doesn__ speak a word, but her body and especially her eyes tell you her joy, her pain, and at the cross, she is asking __hy?_ when he is holding her. And yes, she is beautiful.']",1330000,10,hd,PT5M17S,"The Killers	rock",rock,0,0,When You Were Young,The Killers,Sam's Town,75,220426
ZPDzkMMHC2k,The Killers - Mr. Brightside (Official Music VIdeo HQ),check out my channel for more music videos & please subscribe,2009-11-07T09:44:43Z,5514,21755,218,16,"['Still listening to this in 2023 ____', 'this song reminds me of a guy i liked..... he never knew how much he really meant to me.... and i dont think that he will ever know.', 'best quality version on youtube thanks', 'good song :D', 'SONG IS BADASS \r\nthe vid is not what i expected....but i liked it :D', 'Fuck man this song is so from my childhood', 'I LOVE THIS FUCKIN SONG!', 'i like the first one better in black &amp; white', 'why has this vid been taken off universalmusicgroup?', 'Ed do ya want to keep him too! &amp; J PGaultier? No one has seen or appreciated HRH Prince Harry for years.']",2950,10,sd,PT3M45S,"The Killers	rock",rock,0,0,Mr. Brightside,The Killers,Hot Fuss,84,222973
Y5fBdpreJiU,The Killers - Somebody Told Me (Official Music Video),"New Album __mploding The Mirage_ Out Now:
https://thekillers.lnk.to/ImplodingTheMirageID

Follow The Killers:
Instagram: https://www.instagram.com/thekillers/
Facebook: https://www.facebook.com/Thekillers/
Twitter: https://twitter.com/thekillers
Website: https://www.thekillersmusic.com/

Subscribe Now:
https://thekillers.lnk.to/TheKillersSubYD
Watch More:
https://thekillers.lnk.to/MusicVideosYD

